cd_orgao,nr_licitacao,ano_licitacao,nr_contrato,ano_contrato,nr_item,qt_itens_contrato,vl_item_contrato,vl_total_item_contrato
55700,10,2017,97,2017,10,72,4.59,330.48
55700,10,2017,97,2017,11,89,1.2,106.8
55700,10,2017,97,2017,12,53,3.26,172.78
55700,10,2017,97,2017,13,60,5.17,310.2
55700,10,2017,97,2017,14,25,9,225
55700,10,2017,97,2017,15,55,2.5,137.5
55700,10,2017,97,2017,16,59,1.5,88.5
55700,10,2017,97,2017,18,25,3.57,89.25
55700,10,2017,97,2017,28,40,1.5,60
55700,10,2017,97,2017,30,87.5,1,87.5
55700,10,2017,97,2017,31,28.5,1.5,42.75
55700,10,2017,97,2017,35,100,14.03,1403
78300,1,2017,102,2017,10,300,18.08,5424
78300,1,2017,102,2017,13,100,24.9,2490
78300,1,2017,102,2017,14,150,24.9,3735
78300,1,2017,102,2017,35,500,15.45,7725
78300,1,2017,99,2017,11,300,19.94,5982
78300,1,2017,99,2017,22,200,13.8,2760
78300,1,2017,100,2017,42,300,11.95,3585
78300,1,2017,100,2017,43,200,11.95,2390
55700,10,2017,98,2017,5,80,1.5,120
55700,10,2017,98,2017,6,77,2,154
55700,10,2017,98,2017,16,58,1.5,87
55700,10,2017,98,2017,19,17,1.99,33.83
55700,10,2017,98,2017,24,625,2.82,1762.5
55700,10,2017,98,2017,25,21,7,147
55700,10,2017,98,2017,27,333,6.5,2164.5
55700,10,2017,98,2017,29,40,1.5,60
88048,3,2017,48,2017,16,270,3.79,1023.3
88048,3,2017,48,2017,18,1800,2.86,5148
88048,3,2017,48,2017,28,170,4.78,812.6
88048,3,2017,50,2017,15,170,5.99,1018.3
88048,3,2017,50,2017,23,80,8.29,663.2
88048,3,2017,50,2017,32,175,15.13,2647.75
88048,3,2017,51,2017,1,66,5.46,360.36
88048,3,2017,51,2017,5,425,4.13,1755.25
88048,3,2017,51,2017,13,80,2.33,186.4
88048,3,2017,51,2017,19,300,5.23,1569
88048,3,2017,51,2017,20,270,4.96,1339.2
67200,2,2017,99,2017,17,15,3.85,57.75
67200,2,2017,99,2017,18,70,7.02,491.4
67200,2,2017,99,2017,19,32,6.8,217.6
67200,2,2017,99,2017,20,15,1.78,26.7
67200,2,2017,99,2017,21,200,11.83,2366
67200,2,2017,99,2017,22,28,16,448
67200,2,2017,99,2017,23,15,9.76,146.4
67200,2,2017,99,2017,24,4,26.5,106
67200,2,2017,99,2017,25,135,4.21,568.35
67200,2,2017,99,2017,26,6,4.04,24.24
67200,2,2017,99,2017,27,6,11.75,70.5
67200,2,2017,99,2017,28,1210,0.96,1161.6
67200,2,2017,99,2017,29,57,18.33,1044.81
67200,2,2017,99,2017,30,45,3.04,136.8
67200,2,2017,99,2017,31,48,4.87,233.76
67200,2,2017,99,2017,32,70,13.25,927.5
67200,2,2017,99,2017,33,405,2.49,1008.45
67200,2,2017,99,2017,5,71,18.5,1313.5
67200,2,2017,99,2017,10,72,9.76,702.72
67200,2,2017,99,2017,13,109,14,1526
67200,2,2017,99,2017,1,378,1.96,740.88
67200,2,2017,99,2017,2,73,3.1,226.3
67200,2,2017,99,2017,3,175,2.9,507.5
67200,2,2017,99,2017,4,57,6.56,373.92
67200,2,2017,99,2017,6,85,2.76,234.6
67200,2,2017,99,2017,7,1270,0.55,698.5
67200,2,2017,99,2017,8,24,14.2,340.8
67200,2,2017,99,2017,9,140,6.33,886.2
67200,2,2017,99,2017,11,106,5.75,609.5
67200,2,2017,99,2017,12,3555,0.52,1848.6
67200,2,2017,99,2017,14,94,26,2444
67200,2,2017,99,2017,15,179,1.95,349.05
55700,10,2017,99,2017,15,56,2.5,140
55700,10,2017,99,2017,28,40,1.5,60
55700,10,2017,99,2017,29,40,1.5,60
55700,10,2017,99,2017,30,87.5,1,87.5
55700,10,2017,99,2017,31,28.5,1.5,42.75
55700,10,2017,99,2017,32,33,3.5,115.5
56900,2,2017,41,2017,19,5132,22.3,114443.6
77900,2,2017,20,2017,1,40,2.12,84.8
55700,10,2017,79,2017,41,100,11.94,1194
55700,10,2017,79,2017,42,250,15.24,3810
55700,10,2017,79,2017,43,250,16.8,4200
55700,10,2017,79,2017,44,100,12.59,1259
55700,10,2017,90,2017,4,17,21,357
55700,10,2017,90,2017,8,308,2.04,628.32
55700,10,2017,90,2017,15,56,2.5,140
55700,10,2017,90,2017,18,25,3.57,89.25
55700,10,2017,90,2017,19,16,1.99,31.84
55700,10,2017,90,2017,27,333,6.5,2164.5
55700,10,2017,90,2017,28,40,1.5,60
55700,10,2017,90,2017,29,40,1.5,60
67200,2,2017,99,2017,16,180,2,360
55700,10,2017,95,2017,1,50,1.5,75
55700,10,2017,95,2017,3,27,5,135
55700,10,2017,95,2017,6,77,2,154
55700,10,2017,95,2017,7,86,5.56,478.16
55700,10,2017,95,2017,8,307,2.04,626.28
55700,10,2017,95,2017,9,150,2.11,316.5
55700,10,2017,95,2017,10,73,4.59,335.07
55700,10,2017,95,2017,12,54,3.26,176.04
55700,10,2017,95,2017,15,56,2.5,140
55700,10,2017,95,2017,16,58,1.5,87
55700,10,2017,95,2017,18,25,3.57,89.25
55700,10,2017,95,2017,20,50,1.12,56
55700,10,2017,95,2017,21,30,1.62,48.6
55700,10,2017,95,2017,22,5,9.83,49.15
55700,10,2017,95,2017,23,11.5,8,92
55700,10,2017,95,2017,24,625,2.82,1762.5
55700,10,2017,95,2017,25,21,7,147
55700,10,2017,95,2017,28,40,1.5,60
77900,2,2017,20,2017,4,20,2.7,54
77900,2,2017,20,2017,14,5,1.5,7.5
77900,2,2017,20,2017,15,15,5.65,84.75
77900,2,2017,20,2017,16,30,2.3,69
77900,2,2017,20,2017,17,20,2.99,59.8
77900,2,2017,20,2017,22,100,1.2,120
77900,2,2017,20,2017,23,10,3.99,39.9
77900,2,2017,20,2017,28,40,1.5,60
77900,2,2017,20,2017,29,60,4.67,280.2
77900,2,2017,20,2017,30,10,5.8,58
77900,2,2017,21,2017,26,60,11.69,701.4
77900,2,2017,21,2017,27,5,11.69,58.45
77900,2,2017,22,2017,12,8,8.85,70.8
84800,1,2017,31,2017,2,2320,2.85,6612
84800,1,2017,32,2017,3,340,2.5,850
84800,1,2017,32,2017,10,525,2.8,1470
84800,1,2017,32,2017,11,350,2.5,875
55700,10,2017,76,2017,45,1600,2.89,4624
55700,10,2017,76,2017,46,5000,2.6,13000
55700,10,2017,77,2017,8,308,2.04,628.32
55700,10,2017,77,2017,12,53,3.26,172.78
55700,10,2017,77,2017,20,50,1.12,56
55700,10,2017,77,2017,25,22,7,154
55700,10,2017,77,2017,30,87.5,1,87.5
55700,10,2017,77,2017,39,300,11.63,3489
55700,10,2017,80,2017,40,1000,16.5,16500
51000,3,2017,47,2017,1,64,11.37,727.68
51000,3,2017,47,2017,6,36,3.07,110.52
51000,3,2017,47,2017,7,10,7.53,75.3
51000,3,2017,47,2017,8,36,2.93,105.48
51000,3,2017,47,2017,9,12,7.8,93.6
51000,3,2017,47,2017,17,5,9.8,49
51000,3,2017,47,2017,18,64,2.33,149.12
51000,3,2017,47,2017,19,60,9.83,589.8
51000,3,2017,47,2017,20,4,11.33,45.32
51000,3,2017,47,2017,21,70,3.33,233.1
51000,3,2017,50,2017,5,400,2.5,1000
51000,3,2017,50,2017,11,140,1.8,252
51000,3,2017,50,2017,14,110,2.09,229.9
51000,3,2017,51,2017,9,12,7.8,93.6
51000,3,2017,51,2017,11,140,1.8,252
51000,3,2017,51,2017,16,110,3.26,358.6
51000,3,2017,51,2017,17,20,9.8,196
84800,1,2017,30,2017,1,935,2.2,2057
84800,1,2017,30,2017,3,340,2.5,850
84800,1,2017,30,2017,9,400,9,3600
84800,1,2017,30,2017,10,525,2.8,1470
84800,1,2017,30,2017,14,405,1.5,607.5
55700,10,2017,88,2017,1,50,1.5,75
55700,10,2017,88,2017,4,17,21,357
55700,10,2017,88,2017,5,80,1.5,120
55700,10,2017,88,2017,12,53,3.26,172.78
55700,10,2017,88,2017,15,55,2.5,137.5
55700,10,2017,88,2017,16,58,1.5,87
55700,10,2017,88,2017,17,50,1.5,75
55700,10,2017,88,2017,22,5,9.83,49.15
55700,10,2017,88,2017,23,11.5,8,92
55700,10,2017,88,2017,24,625,2.82,1762.5
55700,10,2017,88,2017,25,21,7,147
55700,10,2017,89,2017,3,27.5,5,137.5
55700,10,2017,89,2017,11,88,1.2,105.6
55700,10,2017,89,2017,12,54,3.26,176.04
55700,10,2017,89,2017,13,60,5.17,310.2
55700,10,2017,89,2017,14,25,9,225
55700,10,2017,89,2017,15,55,2.5,137.5
55700,10,2017,89,2017,18,25,3.57,89.25
55700,10,2017,89,2017,21,30,1.62,48.6
55700,10,2017,89,2017,22,5,9.83,49.15
88029,3,2017,55,2017,3,15,5,75
88029,3,2017,55,2017,4,12,6.6,79.2
88029,3,2017,55,2017,5,11,4.5,49.5
88029,3,2017,55,2017,6,10,3.3,33
88029,3,2017,55,2017,7,12,2,24
88029,3,2017,55,2017,8,18,3.35,60.3
88029,3,2017,55,2017,9,66,4.25,280.5
88029,3,2017,55,2017,10,83,3.65,302.95
88029,3,2017,55,2017,11,46,3.6,165.6
88029,3,2017,55,2017,12,46,4.4,202.4
88029,3,2017,55,2017,13,23,2.4,55.2
88029,3,2017,55,2017,14,46,3.95,181.7
88029,3,2017,55,2017,15,23,3.3,75.9
88029,3,2017,55,2017,16,23,4.6,105.8
88029,3,2017,55,2017,17,70,3.3,231
88029,3,2017,55,2017,18,12,15,180
88029,3,2017,55,2017,19,45,5.1,229.5
