cnpj_cei,razao_social,natureza_juridica,cnae_2_0_classe_2,cep_estab,porte_estabelecimento,tamanho_estabelecimento,qtd_vinculos_ativos,nome_socio,qualificacao_socio,munic_contrato_vigente,munic_contrato_expirado
89.305.239/0056-57,COOP DOS SUINOCULTORES DE ENCANTADO LTDA           ,Cooperativa,Com�rcio Varejista d,95960-000,Outros,De 50 a 99,97,,,Putinga,"Roca Sales, Putinga"
12.184.219/0001-77,ASSOCIACAO DOS AGRICULTORES FAMILIARES DE BENTO    ,Outras Organiza��es,Atividades Associati,95700-112,Outros,0 Empregado,0,Vinicios Dall Oglio                                                                                                                                          ,Presidente,Bento Gonçalves,Bento Gonçalves
01.131.231/0001-05,COOP DE PROD AGROPEC SETE DE JULHO                 ,Cooperativa,Com�rcio Atacadista,92480-000,Outros,0 Empregado,0,"Arnaldo Soares Borges                                                                                                                                        , Chandi Leonardo Diel                                                                                                                                         , Juraci Lima De Oliveira                                                                                                                                      ","Presidente, Diretor, Diretor",Xangri-Lá,Mostardas
16.992.534/0001-81,COOP DE FRUTICULTORES FAMILIARES COOPAF            ,Cooperativa,Atividades de P�s-Co,99980-000,Outros,De 1 a 4,1,"Armando Rugini                                                                                                                                               , Gilmar Carlos Contini                                                                                                                                        ","Diretor, Presidente",Ciríaco,Ciríaco
08.602.228/0001-63,ASSOC DOS FEIRANTES DE FORT DOS VALOS              ,Outras Organiza��es,Atividades Associati,98125-000,Outros,De 1 a 4,1,Rosilaine Horbach Antonello                                                                                                                                  ,Presidente,Boa Vista do Incra,
06.316.591/0001-97,ASSOCIACAO DOS COLABORADORES DE PROTECAO           ,Outras Organiza��es,Atividades de Associ,97670-000,Outros,De 1 a 4,4,Jane Terezinha Pozza Garcia                                                                                                                                  ,Presidente,São Borja,
02.794.010/0001-71,IRMAOS KOBELINSKI LTDA                             ,Sociedade Qt Ltda,Fabrica��o de Sucos,99265-000,Microempresa,0 Empregado,0,"Celio Odacir Kobelinski                                                                                                                                      , Lecio Silvio Kobelinski                                                                                                                                      , Sergio Moacir Kobelinski                                                                                                                                     ","Sócio, Sócio-Administrador, Sócio-Administrador","São domingos do Sul, Santo Antônio do Palma, Gentil","São domingos do Sul, Gentil, Santo Antônio do Palma"
12.849.375/0001-00,COOPERATIVA DOS PEQUENOS PRODUTORES FAMILIARES DE PI,Cooperativa,Com�rcio Varejista d,98435-000,Outros,0 Empregado,0,"Artidore Rodrigues                                                                                                                                           , Gerson Grings                                                                                                                                                ","Diretor, Presidente",Pinheirinho do Vale,Pinheirinho do Vale
90.430.414/0001-43,COOPAPICFRUTIC ZONA SUL                         ,Cooperativa,Com�rcio Varejista d,96010-971,Outros,De 1 a 4,4,"Glauber Kurz Scaglioni                                                                                                                                       , Leo Vahl                                                                                                                                                     , Leomar Manke                                                                                                                                                 , Matheus Barcellos Werhli                                                                                                                                     , Mirian Beatriz Schuler Sturbelle Vergara                                                                                                                     , Rogerio Luvier Vieira                                                                                                                                        , Valdemar Augusto Vahl                                                                                                                                        ","Diretor, Diretor, Diretor, Diretor, Diretor, Diretor, Presidente",Pelotas,Pelotas
12.877.184/0001-51,COOPERATIVA DOS PRODUTORES AGRICOLAS DO            ,Cooperativa,Com�rcio Atacadista,96060-000,Outros,De 10 a 19,13,"Egon Martin Hellwig                                                                                                                                          , Elias Renato Knopp                                                                                                                                           , Nilson Scheunemann                                                                                                                                           ","Presidente, Diretor, Diretor",Pelotas,Pelotas
